[2026-04-01T10:49:31.658Z] GET http://localhost:8767/ → 200 (5ms, 113287B)
[2026-04-01T11:03:59.431Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (1ms, ?B)
[2026-04-01T11:03:59.432Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:04:22.042Z] GET http://localhost:8767/?t=1775041462 → 200 (1ms, 113357B)
[2026-04-01T11:04:22.046Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:04:22.046Z] GET http://localhost:8767/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:04:22.046Z] GET http://localhost:8767/main.js → 200 (?ms, 19944B)
[2026-04-01T11:04:22.062Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:04:22.062Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:04:22.063Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:05:12.085Z] GET http://localhost:8768/ → 200 (1ms, 113357B)
[2026-04-01T11:05:12.089Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:05:12.089Z] GET http://localhost:8768/styles.css → 200 (1ms, 38007B)
[2026-04-01T11:05:12.089Z] GET http://localhost:8768/main.js → 200 (13ms, 20480B)
[2026-04-01T11:05:12.101Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (1ms, 76868B)
[2026-04-01T11:05:12.101Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, 31340B)
[2026-04-01T11:05:12.101Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (1ms, 62556B)
[2026-04-01T11:06:07.445Z] GET http://localhost:8768/ → 200 (1ms, 113357B)
[2026-04-01T11:06:07.449Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:06:07.449Z] GET http://localhost:8768/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:06:07.449Z] GET http://localhost:8768/main.js → 304 (1ms, ?B)
[2026-04-01T11:06:07.452Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (1ms, ?B)
[2026-04-01T11:06:07.453Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:06:07.453Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:06:32.570Z] GET http://localhost:8768/ → 200 (1ms, 113357B)
[2026-04-01T11:06:32.574Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:06:32.574Z] GET http://localhost:8768/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:06:32.574Z] GET http://localhost:8768/main.js → 200 (?ms, 20480B)
[2026-04-01T11:06:32.577Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:06:32.578Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:06:32.578Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:09:02.202Z] GET http://localhost:8768/ → 200 (1ms, 113357B)
[2026-04-01T11:09:02.206Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:09:02.206Z] GET http://localhost:8768/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:09:02.207Z] GET http://localhost:8768/main.js → 304 (22ms, ?B)
[2026-04-01T11:09:02.228Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:09:02.228Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:09:02.228Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (1ms, ?B)
[2026-04-01T11:11:29.785Z] GET http://localhost:8770/ → 200 (1ms, 113341B)
[2026-04-01T11:11:29.789Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:11:29.789Z] GET http://localhost:8770/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:11:29.789Z] GET http://localhost:8770/main.js → 200 (2ms, 21374B)
[2026-04-01T11:11:29.793Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (3ms, 76868B)
[2026-04-01T11:11:29.793Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (2ms, 31340B)
[2026-04-01T11:11:29.793Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (3ms, 62556B)
[2026-04-01T11:11:58.453Z] GET http://localhost:8770/ → 200 (1ms, 113341B)
[2026-04-01T11:11:58.456Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:11:58.457Z] GET http://localhost:8770/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:11:58.457Z] GET http://localhost:8770/main.js → 304 (16ms, ?B)
[2026-04-01T11:11:58.472Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:11:58.472Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:11:58.473Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:12:20.766Z] GET http://localhost:8770/ → 200 (1ms, 113341B)
[2026-04-01T11:12:20.770Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:12:20.770Z] GET http://localhost:8770/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:12:20.770Z] GET http://localhost:8770/main.js → 304 (1ms, ?B)
[2026-04-01T11:12:20.773Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:12:20.773Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:12:20.773Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:12:46.267Z] GET http://localhost:8770/ → 200 (1ms, 113341B)
[2026-04-01T11:12:46.271Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:12:46.271Z] GET http://localhost:8770/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:12:46.271Z] GET http://localhost:8770/main.js → 304 (1ms, ?B)
[2026-04-01T11:12:46.274Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:12:46.274Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:12:46.274Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:13:08.360Z] GET http://localhost:8770/ → 200 (1ms, 113341B)
[2026-04-01T11:13:08.364Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:13:08.364Z] GET http://localhost:8770/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:13:08.364Z] GET http://localhost:8770/main.js → 304 (16ms, ?B)
[2026-04-01T11:13:08.379Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:13:08.380Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:13:08.380Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:13:12.518Z] GET http://localhost:8770/?r=1775041992 → 200 (1ms, 113341B)
[2026-04-01T11:13:12.522Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:13:12.522Z] GET http://localhost:8770/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:13:12.523Z] GET http://localhost:8770/main.js → 200 (?ms, 21374B)
[2026-04-01T11:13:12.538Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:13:12.538Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:13:12.538Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:13:36.321Z] GET http://localhost:8770/?t=1775042016 → 200 (1ms, 113341B)
[2026-04-01T11:13:36.325Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:13:36.325Z] GET http://localhost:8770/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:13:36.325Z] GET http://localhost:8770/main.js → 304 (?ms, ?B)
[2026-04-01T11:13:36.329Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:13:36.329Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:13:36.329Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:14:10.948Z] GET http://localhost:8770/?v=1775042050 → 200 (1ms, 113341B)
[2026-04-01T11:14:10.952Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:14:10.952Z] GET http://localhost:8770/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:14:10.952Z] GET http://localhost:8770/main.js → 304 (1ms, ?B)
[2026-04-01T11:14:10.955Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:14:10.955Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (1ms, ?B)
[2026-04-01T11:14:10.956Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:14:47.249Z] GET http://localhost:8770/?x=1775042087 → 200 (1ms, 113341B)
[2026-04-01T11:14:47.253Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:14:47.253Z] GET http://localhost:8770/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:14:47.253Z] GET http://localhost:8770/main.js → 304 (17ms, ?B)
[2026-04-01T11:14:47.269Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:14:47.269Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:14:47.270Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:15:06.028Z] GET http://localhost:8770/?q=1775042105 → 200 (1ms, ?B)
[2026-04-01T11:15:06.032Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:15:06.032Z] GET http://localhost:8770/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:15:06.032Z] GET http://localhost:8770/main.js → 200 (?ms, 21374B)
[2026-04-01T11:15:06.035Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:15:06.035Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:15:06.035Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:19:47.773Z] GET http://localhost:8770/ → 200 (1ms, 113539B)
[2026-04-01T11:19:47.777Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:19:47.777Z] GET http://localhost:8770/styles.css → 304 (1ms, ?B)
[2026-04-01T11:19:47.777Z] GET http://localhost:8770/main.js → 200 (19ms, 21853B)
[2026-04-01T11:19:47.795Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:19:47.795Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:19:47.796Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:19:52.372Z] GET http://localhost:8770/ → 200 (1ms, 113539B)
[2026-04-01T11:19:52.376Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:19:52.376Z] GET http://localhost:8770/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:19:52.376Z] GET http://localhost:8770/main.js → 304 (1ms, ?B)
[2026-04-01T11:19:52.379Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:19:52.379Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, ?B)
[2026-04-01T11:19:52.379Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:22:06.975Z] GET http://localhost:8770/ → 200 (1ms, 115340B)
[2026-04-01T11:22:06.979Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:22:06.979Z] GET http://localhost:8770/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:22:06.979Z] GET http://localhost:8770/main.js → 304 (18ms, ?B)
